EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
E1001708,31,0,1,2,4,11,1.0,8,5,1,93,3,4,2,3,0,11,3,9,3,4,3,2,1,0,0,3
E1001709,34,1,4,0,4,12,2.0,1,4,4,91,3,1,1,5,0,14,3,10,2,3,4,3,1,3,0,3
E1001711,31,0,1,2,4,12,1.0,8,3,1,34,2,1,2,1,0,12,3,1,3,4,1,0,0,0,1,3
E1001712,27,1,1,1,4,9,1.0,11,1,2,91,3,1,1,0,0,14,2,6,3,4,5,0,1,4,0,3
E1001713,36,1,1,2,4,7,1.0,4,4,1,37,2,2,4,1,0,16,3,10,2,2,10,4,1,8,0,2
E1001716,47,1,5,1,4,12,1.0,1,3,1,74,3,1,4,7,0,12,3,17,2,2,6,5,1,2,0,2
E1001717,25,1,1,1,5,14,1.0,9,2,1,68,2,1,1,3,0,12,1,6,2,3,3,2,2,2,1,2
E1001718,37,1,5,2,4,9,0.0,5,2,3,84,4,1,3,0,0,14,1,7,2,1,6,5,1,3,0,3
E1001719,56,0,1,1,4,9,1.0,1,2,1,90,3,1,1,2,0,22,4,5,3,4,3,2,1,0,0,4
E1001723,24,0,3,1,5,13,1.0,4,1,4,42,3,2,3,1,1,12,3,5,3,3,5,4,0,3,0,3
E1001725,34,0,1,1,4,7,1.0,1,3,4,86,2,1,2,5,0,17,1,7,2,2,5,4,0,2,0,3
E1001726,41,1,3,1,4,9,1.0,5,5,2,90,4,1,3,2,1,12,1,7,3,2,4,2,0,3,0,3
E1001727,40,1,4,0,4,7,0.0,9,4,3,81,3,2,3,3,0,11,3,11,2,4,8,7,0,7,0,3
E1001731,31,1,1,0,5,13,1.0,8,2,1,31,3,3,4,1,0,18,1,13,3,3,13,7,1,9,0,2
E1001736,39,0,1,2,4,7,0.0,2,3,1,54,2,1,1,2,1,23,2,11,2,4,1,0,0,0,1,4
E1001737,31,0,1,2,4,9,2.0,1,5,3,100,4,3,2,1,0,11,1,10,2,3,10,8,4,7,1,3
E1001738,45,1,3,0,4,9,1.0,20,3,2,95,1,3,1,2,1,18,2,24,2,3,7,7,0,7,0,3
E1001739,31,0,3,2,3,6,1.0,8,2,4,96,4,1,2,9,0,18,4,8,3,3,3,2,0,2,0,3
E1001743,45,1,5,1,4,9,1.0,29,3,2,55,3,3,4,4,1,18,4,10,4,4,3,1,1,2,0,3
E1001745,34,0,5,1,3,6,1.0,9,4,1,52,3,1,3,1,0,15,4,2,3,3,2,2,2,2,1,2
E1001746,40,1,3,0,4,11,0.0,8,1,4,55,2,3,2,2,0,11,3,16,3,3,9,8,4,8,0,3
E1001749,44,1,1,2,4,7,0.0,5,3,3,90,2,1,3,3,0,14,4,7,3,3,5,2,0,3,0,3
E1001751,49,1,5,1,4,9,1.0,5,4,1,96,3,2,3,2,0,14,2,20,3,2,3,2,1,2,0,2
E1001752,40,1,3,0,4,12,1.0,2,3,3,68,3,1,3,2,0,14,3,8,3,4,3,1,1,2,0,4
E1001753,44,1,1,2,4,9,1.0,20,3,4,49,3,1,2,1,0,13,3,6,3,2,5,2,1,3,0,3
E1001755,33,1,3,1,5,13,2.0,7,3,4,54,3,2,1,0,0,14,1,5,2,3,4,3,0,3,0,3
E1001756,34,1,4,2,5,13,1.0,3,3,4,81,1,2,1,3,0,18,4,15,2,3,13,9,3,12,0,3
E1001757,30,1,1,1,5,13,1.0,16,1,4,96,3,2,3,8,0,15,3,4,2,2,2,1,2,2,0,3
E1001758,42,0,3,2,4,7,2.0,9,2,1,74,3,1,4,1,0,13,3,12,3,3,12,9,5,8,0,2
E1001759,44,0,2,1,5,13,2.0,1,5,1,79,3,2,3,7,0,12,3,11,4,2,1,0,0,0,0,3
E1001760,30,1,5,0,4,12,0.0,7,3,3,64,3,1,3,1,0,13,2,1,2,2,1,0,0,0,0,3
E1001761,57,1,1,1,4,12,1.0,1,2,2,93,4,2,3,0,0,24,1,13,2,2,12,9,2,8,0,2
E1001762,49,1,1,0,4,9,1.0,7,4,3,35,3,3,2,3,0,14,2,10,3,3,8,7,0,7,0,3
E1001763,34,1,3,0,4,11,2.0,15,3,2,71,3,4,1,7,0,14,4,16,3,2,14,8,6,9,0,2
E1001764,28,1,5,1,5,14,2.0,1,3,1,92,3,1,3,3,0,15,4,5,3,4,3,2,1,2,1,2
E1001767,34,0,3,2,5,13,1.0,24,4,1,40,2,2,2,0,1,23,3,16,2,4,15,9,1,10,1,2
E1001770,35,1,1,1,5,14,1.0,7,1,4,76,3,1,3,1,0,13,1,1,3,3,1,0,0,0,0,3
E1001773,24,0,1,1,5,14,0.0,13,2,4,78,3,1,2,1,0,13,3,1,2,3,1,0,0,0,0,3
E1001774,44,1,3,2,4,9,2.0,2,1,2,86,3,3,3,5,1,18,2,16,2,2,2,2,2,2,0,2
E1001775,29,1,1,0,5,13,1.0,19,3,3,77,2,2,3,1,0,14,3,10,3,3,10,7,0,4,0,3
E1001779,55,1,1,1,4,9,1.0,4,4,4,30,3,2,3,0,1,16,2,4,2,3,3,2,1,2,0,3
E1001780,33,0,3,1,4,9,1.0,4,4,1,82,2,1,2,8,0,11,4,8,3,3,5,4,0,2,0,3
E1001781,47,0,3,1,5,13,1.0,14,3,3,78,3,2,3,3,1,17,3,11,4,2,5,4,1,2,0,3
E1001782,28,1,3,2,4,7,2.0,2,2,3,38,2,1,1,7,0,11,3,8,2,2,0,0,0,0,1,3
E1001784,28,1,1,0,4,9,1.0,1,3,1,72,2,1,3,1,0,14,4,1,2,1,1,0,0,0,0,3
E1001785,28,1,1,2,5,13,2.0,7,3,3,55,3,2,1,0,0,14,4,5,3,3,4,2,1,3,0,3
E1001787,49,0,3,1,4,7,1.0,3,2,3,43,2,2,1,4,0,25,1,10,3,3,3,2,1,2,0,4
E1001791,29,0,1,1,4,7,2.0,2,1,4,97,3,1,2,0,0,13,3,4,3,3,3,2,0,2,0,3
E1001792,28,1,1,1,4,9,1.0,29,1,3,96,1,2,2,1,0,14,2,8,2,2,8,6,1,7,0,3
E1001793,33,1,1,2,4,5,1.0,8,5,4,69,3,2,3,2,1,17,1,14,3,3,0,0,0,0,0,3
E1001794,32,1,3,2,4,8,1.0,10,3,3,64,3,3,4,2,0,25,2,10,3,4,5,2,0,0,0,3
E1001798,54,0,3,0,4,9,2.0,11,4,2,87,3,4,4,3,0,20,1,26,2,3,14,9,1,12,0,2
E1001800,29,1,5,2,4,12,1.0,1,4,1,100,2,1,1,6,0,13,3,11,2,1,9,7,0,7,1,3
E1001805,46,0,1,1,5,8,1.0,3,3,3,51,3,4,2,8,0,12,4,23,2,4,13,12,5,1,0,3
E1001807,35,0,1,2,4,9,1.0,16,3,4,91,2,3,2,1,0,19,4,11,3,1,11,8,3,3,0,3
E1001811,23,1,1,2,4,7,1.0,20,1,1,97,3,2,3,0,0,14,2,5,2,3,4,3,1,2,0,2
E1001812,40,1,1,2,4,7,1.0,9,4,4,86,3,1,1,3,0,14,2,15,3,1,5,4,1,0,1,3
E1001813,34,1,5,1,5,13,1.0,1,3,4,64,2,3,3,1,1,14,4,10,3,3,10,9,1,6,0,3
E1001817,50,1,3,2,4,11,2.0,22,5,3,88,1,4,4,1,1,13,4,10,2,3,5,6,1,9,0,3
E1001820,42,1,3,1,4,9,1.0,2,3,3,68,2,1,2,4,0,14,2,4,3,3,1,0,0,0,0,3
E1001821,37,1,3,1,4,12,1.0,13,3,1,47,3,2,4,1,0,17,1,10,2,3,10,8,3,7,0,2
E1001822,29,0,4,1,4,5,1.0,8,1,3,39,1,2,1,3,0,13,3,9,3,3,7,7,0,7,0,3
E1001823,33,1,1,2,4,10,1.0,25,3,4,44,2,2,2,1,0,13,4,5,2,3,5,3,0,2,0,3
E1001824,45,1,5,1,4,12,1.0,28,3,4,97,3,1,4,4,0,20,4,8,3,3,5,4,0,3,0,4
E1001825,42,1,1,1,4,5,2.0,2,3,4,40,3,3,4,2,1,14,3,24,3,1,20,8,1,9,0,3
E1001826,40,1,3,1,5,13,1.0,9,2,1,47,3,2,1,0,0,12,4,9,3,4,8,4,7,1,0,2
E1001827,33,1,1,1,4,7,1.0,28,4,2,79,3,2,3,1,1,12,2,15,3,3,15,14,5,7,0,2
E1001828,40,1,3,2,3,8,1.0,6,2,3,38,3,4,4,1,1,21,4,21,2,3,5,7,7,7,0,4
E1001829,24,1,5,0,4,7,1.0,21,2,3,57,2,1,1,0,0,14,2,2,3,3,1,1,0,0,0,3
E1001830,40,1,1,0,4,9,0.0,8,2,4,72,3,2,4,3,1,18,3,8,2,3,2,2,2,2,0,3
E1001831,45,1,5,0,4,5,1.0,1,4,1,66,3,3,2,1,0,12,1,10,4,3,10,8,7,7,0,2
E1001832,35,0,1,1,5,14,1.0,28,4,2,98,2,1,3,0,0,23,1,6,3,3,5,3,4,2,0,2
E1001834,36,1,1,2,5,14,1.0,2,4,3,70,3,1,4,3,1,21,4,7,3,2,3,2,1,2,0,4
E1001835,48,0,1,0,5,13,1.0,16,4,3,96,3,2,3,8,0,14,3,18,2,3,8,7,7,7,0,3
E1001838,33,1,1,1,5,13,1.0,8,4,1,46,3,2,1,2,0,13,4,8,3,1,2,2,2,2,0,2
E1001840,30,1,1,1,5,13,1.0,1,3,2,64,2,2,1,1,0,11,4,10,4,3,10,8,6,7,1,2
E1001841,38,1,0,1,3,6,2.0,10,4,3,71,3,2,3,3,0,11,3,10,2,3,6,3,1,2,0,3
E1001846,30,1,5,1,5,13,1.0,29,4,3,33,3,3,2,3,0,12,2,9,3,3,4,2,1,3,0,3
E1001847,35,0,1,0,4,7,1.0,2,3,1,69,3,1,1,1,1,12,4,1,2,3,1,0,0,0,1,3
E1001850,53,0,5,1,4,10,1.0,2,5,3,78,2,3,4,0,0,16,2,10,4,3,5,7,1,9,1,3
E1001851,38,1,3,1,4,10,1.0,2,3,3,81,3,2,2,4,0,11,1,7,2,3,5,2,1,4,1,3
E1001854,48,0,4,1,4,9,1.0,15,4,3,65,3,1,1,8,0,12,4,10,3,2,8,2,7,6,0,3
E1001855,34,1,3,2,4,12,1.0,7,4,1,35,3,1,4,1,0,13,3,1,4,1,1,0,0,0,0,3
E1001856,55,1,2,1,5,8,1.0,26,5,3,60,2,5,4,1,0,21,3,10,3,3,5,6,2,13,0,4
E1001858,34,1,1,1,4,9,1.0,1,4,2,45,3,2,4,9,0,17,2,9,3,2,2,2,2,1,0,2
E1001860,38,1,1,1,5,13,1.0,14,3,3,80,3,2,2,0,0,11,4,10,3,3,9,8,7,7,0,3
E1001863,36,0,1,2,5,13,1.0,1,4,2,73,3,2,3,6,0,13,1,15,3,3,1,0,0,0,0,3
E1001864,29,1,3,2,4,9,1.0,3,1,2,87,3,1,1,1,1,18,4,10,3,3,10,9,1,5,0,2
E1001865,35,0,3,2,4,5,1.0,10,4,1,51,3,2,3,3,1,16,3,10,4,3,5,2,0,4,0,3
E1001866,39,1,3,1,5,13,1.0,6,3,4,38,4,3,3,2,0,11,1,11,3,3,7,6,7,6,0,3
E1001868,29,1,1,0,2,4,2.0,2,1,1,87,3,2,4,1,0,19,4,6,3,4,6,4,1,3,0,2
E1001869,50,1,2,1,5,8,1.0,9,3,3,59,3,5,3,4,1,16,3,27,2,3,1,0,0,0,0,3
E1001870,23,1,5,1,2,4,1.0,10,3,4,45,4,1,3,2,0,16,4,4,2,3,2,2,2,2,0,3
E1001874,35,1,1,1,2,4,1.0,28,3,2,46,4,2,3,1,0,17,4,10,3,2,10,9,6,8,0,2
E1001875,34,1,5,1,2,4,2.0,10,4,4,92,2,2,3,1,0,14,2,8,3,2,8,2,7,7,0,3
E1001877,43,1,5,0,2,4,1.0,27,3,4,87,4,1,2,5,0,12,3,8,3,3,6,4,0,2,0,3
E1001882,28,1,3,1,2,4,1.0,24,3,3,51,3,1,2,1,1,17,3,1,3,3,1,1,0,0,1,3
E1001883,22,0,4,1,2,4,0.0,26,2,2,85,2,1,3,1,1,14,2,4,2,2,4,2,1,3,0,2
E1001884,50,1,3,1,2,4,2.0,20,5,2,41,3,4,3,2,1,15,3,10,3,3,5,8,1,13,0,2
E1001885,32,0,4,1,2,4,1.0,5,4,2,35,4,1,4,3,0,17,4,6,3,3,3,2,0,2,0,3
E1001886,44,0,3,0,2,4,1.0,7,3,2,31,3,5,4,0,1,14,4,23,4,2,5,7,1,10,0,2
E1001887,30,1,3,1,2,4,1.0,7,3,2,48,2,1,2,1,0,12,2,6,3,2,6,4,1,1,0,2
E1001889,45,0,3,2,2,4,1.0,5,5,3,50,1,2,1,1,1,14,1,10,3,3,10,7,1,4,0,3
E1001890,45,1,2,1,5,13,0.0,26,3,1,52,2,2,1,1,0,15,1,10,2,3,10,7,4,5,0,2
E1001891,31,1,4,2,5,13,2.0,2,4,4,54,3,2,1,7,0,13,4,10,3,3,5,2,0,3,0,3
E1001892,36,0,1,1,2,4,1.0,12,4,3,76,3,2,3,9,1,12,2,7,2,3,3,2,1,1,0,3
E1001893,34,1,1,0,2,4,2.0,10,4,3,42,4,2,4,1,0,13,1,9,3,3,9,7,7,2,0,3
E1001895,49,0,1,1,2,4,1.0,25,4,3,84,3,1,1,1,0,14,4,10,3,2,9,6,1,4,0,3
E1001897,27,1,4,0,2,4,1.0,19,3,4,67,2,1,1,1,0,11,1,7,3,3,7,7,0,7,0,3
E1001899,35,1,1,1,2,4,1.0,18,5,2,48,4,2,1,1,0,11,4,16,2,3,16,3,1,10,0,2
E1001900,28,0,3,0,2,4,1.0,27,3,2,39,1,2,1,0,0,21,2,6,3,2,5,3,0,0,0,3
E1001901,21,1,3,2,2,4,1.0,5,1,3,97,3,1,4,1,0,18,3,3,2,3,2,2,2,2,0,3
E1001902,18,0,3,2,5,14,2.0,3,2,2,70,3,1,4,1,1,12,3,0,2,4,0,0,0,0,1,3
E1001903,47,0,1,1,3,8,1.0,26,4,4,98,3,5,3,3,0,11,3,27,2,3,5,2,1,0,0,3
E1001905,39,1,3,0,2,4,1.0,3,2,3,76,2,2,3,0,0,15,4,11,3,3,10,8,0,7,0,3
E1001908,35,0,1,1,2,4,0.0,8,4,3,52,3,2,3,1,0,12,4,15,3,3,14,11,2,9,0,3
E1001909,37,1,1,1,2,4,1.0,19,3,3,85,3,2,3,3,0,17,1,9,2,2,4,3,0,2,0,3
E1001911,39,0,3,2,2,4,2.0,4,3,1,81,3,2,3,0,0,13,4,10,2,1,9,2,3,8,0,2
E1001916,38,0,3,1,2,4,1.0,2,2,4,54,2,3,3,3,1,19,4,10,3,4,5,4,0,2,0,3
E1001918,37,0,3,1,2,4,1.0,10,3,2,71,3,1,2,1,0,11,1,8,2,1,8,4,7,7,0,2
E1001919,40,0,1,2,2,4,1.0,16,3,3,84,3,3,4,6,1,15,4,18,2,2,4,2,3,3,0,3
E1001920,44,1,0,1,3,6,2.0,1,5,1,37,3,2,4,4,1,11,3,14,3,3,10,7,0,2,0,3
E1001923,35,1,3,0,5,13,1.0,15,2,1,59,1,2,4,6,1,14,4,7,2,2,2,2,2,2,1,2
E1001924,24,0,5,2,2,4,2.0,2,1,1,32,3,1,4,1,1,13,3,6,2,3,6,3,1,3,0,2
E1001925,27,0,3,1,2,4,1.0,8,3,2,86,4,1,3,7,0,17,1,5,3,3,3,2,0,2,0,3
E1001926,27,1,3,2,2,4,2.0,2,3,4,87,3,1,4,2,0,13,3,6,3,2,4,2,1,2,0,3
E1001931,25,1,1,0,2,4,2.0,2,1,4,77,4,2,3,1,0,17,3,7,3,3,7,7,0,7,0,3
E1001932,39,1,3,1,2,4,1.0,12,3,4,66,3,2,2,4,0,21,3,7,3,3,5,4,1,0,0,4
E1001933,49,0,4,1,2,4,1.0,22,4,1,72,3,4,2,3,0,16,2,27,2,3,4,2,1,2,0,2
E1001934,50,0,1,0,2,4,1.0,17,5,4,50,2,3,1,5,0,15,3,19,3,3,14,11,1,11,0,3
E1001935,20,0,3,2,5,14,1.0,2,3,3,31,3,1,3,1,0,19,1,2,3,3,2,2,2,2,0,3
E1001936,34,0,1,0,2,4,1.0,3,3,4,66,3,2,2,1,0,12,3,11,2,3,11,8,7,9,0,3
E1001937,36,1,1,2,2,4,1.0,7,3,1,77,3,1,2,2,0,11,3,15,4,3,4,3,1,3,0,2
E1001939,49,0,1,1,2,4,1.0,6,1,3,41,2,4,3,2,1,19,2,10,3,3,15,11,2,12,0,3
E1001940,36,0,3,1,2,4,0.0,1,4,4,33,2,2,3,0,0,15,3,4,3,3,3,2,1,2,0,3
E1001942,36,1,1,0,2,4,1.0,3,2,4,79,4,2,1,6,0,20,1,13,3,3,5,4,0,4,0,4
E1001943,54,0,3,1,2,4,1.0,22,5,2,91,3,4,3,3,0,25,3,10,3,3,10,8,4,7,0,2
E1001944,43,1,1,1,2,4,1.0,15,2,3,65,2,4,3,1,0,24,1,14,3,3,14,10,6,11,0,4
E1001945,35,1,4,2,5,13,2.0,12,4,4,36,3,2,4,3,1,24,1,13,2,4,11,9,6,7,1,4
E1001947,29,1,3,0,5,13,1.0,5,3,1,43,2,2,2,1,1,13,2,10,3,2,10,0,0,9,0,3
E1001948,33,1,3,0,5,13,1.0,2,4,4,93,3,2,4,1,0,14,3,6,3,3,6,2,0,4,0,3
E1001949,32,1,3,0,2,4,1.0,2,3,4,45,3,2,2,0,0,13,3,10,4,2,9,5,1,6,0,3
E1001951,31,0,1,1,5,13,1.0,5,4,1,67,3,2,4,1,0,11,1,10,2,3,10,0,0,2,0,3
E1001952,49,0,3,0,2,4,1.0,16,3,4,74,3,1,1,4,1,16,2,17,2,2,2,2,2,2,0,3
E1001958,20,1,1,2,5,14,1.0,9,1,4,54,3,1,1,1,0,11,1,2,3,3,2,2,0,2,0,3
E1001959,33,0,1,0,5,13,0.0,16,3,3,36,3,2,4,1,1,25,3,7,2,3,6,5,1,2,0,4
E1001960,36,1,1,1,2,4,1.0,26,4,1,80,3,2,3,6,0,14,2,10,2,2,3,2,0,2,0,3
E1001961,44,0,1,0,3,6,1.0,1,3,3,44,3,1,4,4,1,18,1,8,2,3,2,2,2,2,0,3
E1001962,23,1,3,2,2,4,1.0,8,1,4,93,2,1,3,1,1,11,1,5,2,3,5,4,1,2,1,3
E1001965,38,0,3,1,2,4,1.0,4,2,4,87,3,1,3,7,0,19,4,7,3,2,0,0,0,0,0,3
E1001967,53,1,3,1,2,4,1.0,24,4,2,48,4,3,4,3,0,15,3,11,2,3,4,3,1,2,0,2
E1001969,48,0,3,1,5,14,2.0,7,2,4,95,3,1,3,2,1,11,3,19,3,3,9,7,7,7,1,3
E1001970,32,1,1,2,2,4,1.0,2,4,4,95,3,1,2,1,0,12,1,1,2,3,1,0,0,0,1,3
E1001971,26,1,3,2,2,4,0.0,7,3,4,76,3,1,4,1,0,20,3,7,3,3,7,7,5,7,0,4
E1001972,55,1,5,0,2,4,1.0,22,3,1,94,2,1,2,5,0,12,4,8,1,3,4,2,1,2,0,2
E1001974,34,1,3,1,4,9,1.0,5,2,2,57,2,2,4,1,0,14,3,15,3,4,15,10,4,13,0,2
E1001975,60,1,3,0,4,5,1.0,1,4,3,92,1,3,4,3,0,20,3,19,2,4,1,0,0,0,0,4
E1001978,37,1,3,0,5,13,2.0,1,4,3,31,1,2,4,1,0,14,3,6,2,2,6,3,1,3,0,3
E1001979,34,0,1,1,4,12,1.0,19,3,2,35,2,1,4,1,0,12,2,10,3,3,10,9,1,7,0,2
E1001981,44,0,1,1,4,5,1.0,2,3,3,96,4,3,4,1,1,19,2,9,2,3,8,7,6,7,0,3
E1001984,43,1,3,1,5,13,1.0,2,3,4,73,3,2,4,1,1,17,1,10,3,3,10,9,1,8,0,3
E1001987,29,0,3,1,4,9,1.0,9,4,4,43,3,1,3,9,0,17,3,9,2,3,5,3,1,2,0,3
E1001988,36,0,1,2,5,14,1.0,2,4,3,51,3,2,4,3,0,15,3,17,2,2,13,7,6,7,0,3
E1001990,45,1,1,1,4,9,0.0,1,1,3,74,2,3,3,3,0,23,4,25,3,2,5,3,1,4,0,4
E1001996,26,1,3,1,4,7,1.0,17,4,4,62,1,1,3,1,0,15,3,3,3,4,3,2,0,2,0,3
E1001997,45,0,5,2,4,9,1.0,28,2,4,48,2,4,2,1,0,11,3,21,2,3,5,6,1,6,0,3
E1001999,31,1,1,1,4,7,1.0,2,4,2,69,3,1,3,1,0,14,4,6,2,4,5,2,0,3,0,3
E1002000,41,1,0,1,3,6,0.0,4,3,3,60,1,2,2,6,0,19,2,10,4,3,3,2,1,2,0,3
E1002002,40,0,1,1,4,10,1.0,8,2,2,92,3,2,1,2,1,16,2,18,3,3,1,0,0,0,0,3
E1002003,24,1,3,0,4,7,1.0,29,1,2,91,3,1,1,1,0,13,2,6,2,4,6,2,1,2,0,2
E1002005,46,1,1,2,4,5,1.0,13,4,3,34,3,2,2,6,0,14,4,19,3,3,10,7,0,9,0,3
E1002007,30,1,1,1,4,12,1.0,16,1,2,33,3,1,4,1,0,12,2,10,2,2,10,0,0,8,0,3
E1002009,47,1,2,1,5,13,0.0,2,4,3,87,3,2,2,7,0,11,4,4,3,1,1,0,0,0,0,3
E1002010,46,1,1,0,5,13,1.0,2,3,3,74,3,3,4,4,1,12,2,13,3,2,10,6,0,3,0,3
E1002011,36,1,2,0,5,13,1.0,13,5,2,96,2,2,1,5,1,13,2,16,3,3,2,2,2,2,1,2
E1002012,32,1,1,2,5,13,1.0,1,2,1,34,1,2,2,6,0,15,2,10,2,3,0,0,0,0,1,3
E1002014,31,0,5,2,4,10,2.0,24,1,4,30,3,2,4,2,0,20,4,9,3,2,5,4,1,4,0,4
E1002015,39,1,1,1,4,7,0.0,1,3,4,77,3,2,4,1,1,15,4,9,2,3,9,8,5,8,0,3
E1002017,32,1,1,1,5,13,1.0,19,3,4,80,1,3,3,3,0,13,3,10,2,1,4,3,0,2,0,3
E1002018,40,1,3,2,5,8,1.0,7,4,2,88,3,5,2,1,0,14,2,21,3,2,5,8,1,8,0,2
E1002022,45,0,1,1,3,6,1.0,4,3,3,56,1,3,3,4,0,21,3,9,2,4,5,0,0,3,0,4
E1002023,30,0,5,2,4,9,2.0,2,4,4,78,2,1,1,0,0,16,4,10,2,3,9,7,0,7,0,3
E1002024,24,1,3,1,3,6,2.0,10,3,1,59,3,1,4,0,0,14,4,3,2,3,2,2,2,1,0,2
E1002025,30,0,0,0,3,6,2.0,8,3,3,66,2,1,4,6,0,11,3,6,3,2,4,2,1,2,1,3
E1002027,31,1,5,1,5,13,1.0,5,3,1,51,3,2,3,1,0,19,3,6,3,3,5,2,0,2,0,4
E1002029,27,0,3,2,4,9,1.0,8,3,3,67,3,1,4,1,0,11,3,6,3,2,6,2,1,4,0,3
E1002030,29,0,2,2,5,14,1.0,9,3,2,52,1,1,2,1,0,13,3,2,3,3,2,2,2,2,1,2
E1002031,29,1,1,2,4,5,2.0,1,3,4,70,4,2,3,8,1,12,4,10,3,4,3,2,0,2,0,3
E1002032,30,1,2,0,5,13,1.0,15,2,3,94,2,3,1,2,0,11,1,12,2,3,7,7,1,7,0,3
E1002033,34,1,3,1,4,12,1.0,2,4,4,97,4,1,4,0,1,14,1,6,3,3,5,0,1,2,0,3
E1002034,33,0,2,2,5,13,0.0,2,3,4,62,3,2,2,8,0,15,4,13,2,2,11,7,1,7,0,3
E1002035,49,0,2,2,5,13,1.0,11,4,4,80,3,2,4,3,0,12,3,8,1,4,5,1,0,4,0,3
E1002036,33,0,1,2,5,13,1.0,16,3,1,74,3,3,1,2,1,20,3,11,2,2,0,0,0,0,1,4
E1002038,38,0,3,1,4,7,2.0,2,2,3,75,2,1,2,4,0,14,2,9,4,2,6,1,0,5,0,3
E1002042,32,1,5,2,4,12,0.0,5,4,2,65,3,1,2,2,0,14,2,12,3,3,7,7,0,7,0,3
E1002044,38,1,3,1,4,5,1.0,18,3,2,60,1,2,4,3,1,16,3,15,2,3,1,0,1,0,0,3
E1002045,43,1,5,1,4,12,2.0,17,3,3,38,2,1,3,9,1,16,4,6,4,3,1,0,0,0,1,3
E1002048,55,1,3,1,4,11,1.0,2,3,3,60,2,5,1,8,0,12,2,10,2,3,1,0,0,0,0,3
E1002049,33,1,5,0,4,12,0.0,4,3,4,90,3,2,2,5,0,15,4,11,2,2,9,8,1,7,0,3
E1002050,41,1,1,0,4,7,1.0,9,4,3,94,3,1,1,1,0,20,2,5,2,3,5,3,0,4,0,4
